name,category,rating_score,rating_count,address
전주 한옥마을 서선야,게하 · 한옥,9.7,79,전라북도 전주시 완산구 풍남동2가 27-2 .
전주 한옥 황토 편백하우스,게하 · 한옥,9.8,62,전북특별자치도전주시 완산구 동완산동 423-1
베니키아 전주한성호텔,호텔2성급,8.1,163,전북특별자치도전주시 완산구 고사동 199
전주 FX,모텔,9.4,54,전북특별자치도 전주시 덕진구 우아동2가 924-10
전주 늘품호텔,모텔,9.5,37,전북특별자치도 전주시 완산구 풍남동3가 29-3
전주 한옥마을 장수,게하 · 한옥,9.3,54,전북특별자치도 전주시 완산구 풍남동3가 61-1
전주 호텔 캐슬,모텔,9.0,177,전북특별자치도 전주시 덕진구 우아동2가 925-7
전주 한옥마을 다나하루 게스트하우스,게하 · 한옥,9.6,54,전라북도 전주시 완산구 전동 229-5
전주 안녕 제제 다시 봄,홈&빌라,9.8,4,전북특별자치도전주시 완산구 경원동2가 40-5
전주 한옥 도원,게하 · 한옥,9.6,18,전북특별자치도전주시 완산구 서서학동 270-2
전주 한옥마을 뜰안채 신관,게하 · 한옥,9.4,33,전라북도 전주시 완산구 경원동2가 47-1
전주 한옥마을 강령전,게하 · 한옥,9.6,20,전라북도 전주시 완산구 풍남동3가 67-34
전주 오래된미래 게스트하우스,게하 · 한옥,9.6,40,전북특별자치도 전주시 완산구 교동 999-3
전주 H 호텔,모텔,9.4,52,전북특별자치도 전주시 덕진구 우아동2가 927-2
전주 하얏트,모텔,8.9,442,전북특별자치도 전주시 덕진구 우아동3가 748-40
전주 풍류헌 한옥고택 독채,펜션,10.0,4,전북특별자치도 전주시 완산구 다가동2가 53-1
전주 한옥마을 돌담집 본관,게하 · 한옥,9.7,12,전북특별자치도전주시 완산구 풍남동3가 76-8
전주 하운드호텔 덕진공원점,호텔비즈니스,9.3,14,전북특별자치도 전주시 덕진구 덕진동1가 1342-9
전주 마리호텔,호텔비즈니스,9.1,181,전북특별자치도 전주시 덕진구 우아동2가 919-11
전주 한옥마을 1928 쉼마루,게하 · 한옥,9.5,31,전라북도 전주시 완산구 교동 109-1
전주 호텔아지트 서신롯데점,호텔비즈니스,9.2,81,전북특별자치도 전주시 완산구 서신동 968-3
전주 한옥마을 꼴 게스트하우스,게하 · 한옥,9.4,53,전북특별자치도 전주시 완산구 풍남동2가 38-3
나비잠한옥호텔,호텔2성급,9.2,51,전북특별자치도전주시 완산구 전동 17-1
